site	conc	percent_shift
Blon_0879	0	0
Blon_0879	2.5	0
Blon_0879	5	0
Blon_0879	10	0.312
Blon_0879	15	0.52
Blon_0879	20	0.835
Blon_0879	25	0.919
Blon_0879	50	0.936
Blon_0879	100	0.96
Blon_0879	1000	1
Blon_0881_I	0	0
Blon_0881_I	2.5	0
Blon_0881_I	5	0
Blon_0881_I	10	0.059
Blon_0881_I	15	0.235
Blon_0881_I	20	0.518
Blon_0881_I	25	0.612
Blon_0881_I	50	0.772
Blon_0881_I	100	0.863
Blon_0881_I	1000	1
Blon_2177	0	0
Blon_2177	5	0
Blon_2177	10	0.03
Blon_2177	25	0.162
Blon_2177	50	0.368
Blon_2177	100	0.464
Blon_2177	250	0.529
Blon_2177	500	0.691
Blon_2177	1000	0.936
Blon_2177	2000	1
Blon_2344	0	0
Blon_2344	1.25	0
Blon_2344	2.5	0
Blon_2344	5	0
Blon_2344	7.5	0
Blon_2344	10	0.043
Blon_2344	15	0.648
Blon_2344	20	0.858
Blon_2344	100	1
Blon_2344	1000	1
Blon_2347	0	0
Blon_2347	2.5	0
Blon_2347	5	0
Blon_2347	10	0.298
Blon_2347	20	0.784
Blon_2347	40	0.912
Blon_2347	80	0.96
Blon_2350	0	0
Blon_2350	5	0
Blon_2350	10	0
Blon_2350	25	0.26
Blon_2350	50	0.356
Blon_2350	100	0.366
Blon_2350	250	0.463
Blon_2350	500	0.599
Blon_2350	1000	0.912
Blon_2350	2000	1
