effector	conc_mM	percent_shift	replicate	percent_max_shift
GlcNAc	0	0.799	1	1.019132653
GlcNAc	0	0.746	2	0.951530612
GlcNAc	0	0.807	3	1.029336735
GlcNAc	0.1	0.778	1	0.992346939
GlcNAc	0.25	0.632	1	0.806122449
GlcNAc	0.5	0.536	1	0.683673469
GlcNAc	1	0.395	1	0.503826531
GlcNAc	1	0.492	2	0.62755102
GlcNAc	3	0.411	1	0.524234694
GlcNAc	10	0.427	1	0.544642857
GlcNAc	10	0.405	2	0.516581633
GlcNAc6P	0	0.799	1	1.019132653
GlcNAc6P	0	0.746	2	0.951530612
GlcNAc6P	0	0.807	3	1.029336735
GlcNAc6P	1	0.778	1	0.992346939
GlcNAc6P	3	0.688	1	0.87755102
GlcNAc6P	10	0.495	1	0.631377551
GlcNAc6P	10	0.371	2	0.473214286
GlcNAc1P	0	0.799	1	1.019132653
GlcNAc1P	0	0.746	2	0.951530612
GlcNAc1P	0	0.807	3	1.029336735
GlcNAc1P	0.1	0.721	1	0.919642857
GlcNAc1P	0.25	0.619	1	0.789540816
GlcNAc1P	0.5	0.45	1	0.573979592
GlcNAc1P	1	0.172	1	0.219387755
GlcNAc1P	1	0.331	2	0.422193878
GlcNAc1P	3	0.144	1	0.183673469
GlcNAc1P	10	0.0991	1	0.126403061
GlcNAc1P	10	0.115	2	0.146683673
