strain	sugar	time	replicate	conc
WT	Lactose	0	1	1.551579407
WT	Lactose	0	2	1.534245421
WT	Lactose	0	3	1.711745175
WT	Lactose	4	1	0.058203723
WT	Lactose	4	2	0.067177758
WT	Lactose	4	3	0.065085942
WT	Lactose	8	1	0.021489029
WT	Lactose	8	2	0.023202044
WT	Lactose	8	3	0.021672809
WT	Lactose	12	1	0.004264825
WT	Lactose	12	2	0.002983693
WT	Lactose	12	3	0.003618908
WT	Lactose	24	1	0.003649171
WT	Lactose	24	2	0.007922525
WT	Lactose	24	3	0.00392662
Mut	Lactose	0	1	1.466341266
Mut	Lactose	0	2	1.837793509
Mut	Lactose	0	3	1.989287911
Mut	Lactose	4	1	0.065193027
Mut	Lactose	4	2	0.066121922
Mut	Lactose	4	3	0.064624109
Mut	Lactose	8	1	0.033493711
Mut	Lactose	8	2	0.031390667
Mut	Lactose	8	3	0.011943972
Mut	Lactose	12	1	0.006057164
Mut	Lactose	12	2	0.00607744
Mut	Lactose	12	3	0.006327559
Mut	Lactose	24	1	0.003747452
Mut	Lactose	24	2	0.003271296
Mut	Lactose	24	3	0.002960488
WT	2'FL	0	1	5.894752549
WT	2'FL	0	2	5.725604948
WT	2'FL	0	3	6.443019878
WT	2'FL	4	1	5.644588394
WT	2'FL	4	2	5.868583556
WT	2'FL	4	3	5.974886801
WT	2'FL	8	1	0.005792287
WT	2'FL	8	2	0.013725686
WT	2'FL	8	3	0.035177546
WT	2'FL	12	1	0.000547795
WT	2'FL	12	2	0.001320027
WT	2'FL	12	3	0.001558446
WT	2'FL	24	1	0.0004266
WT	2'FL	24	2	0.000310504
WT	2'FL	24	3	0.000191849
Mut	2'FL	0	1	5.545439663
Mut	2'FL	0	2	7.177280756
Mut	2'FL	0	3	7.523859888
Mut	2'FL	4	1	6.61098094
Mut	2'FL	4	2	6.584141215
Mut	2'FL	4	3	6.591869878
Mut	2'FL	8	1	3.645203424
Mut	2'FL	8	2	3.660033178
Mut	2'FL	8	3	3.633903773
Mut	2'FL	12	1	0.062600212
Mut	2'FL	12	2	0.040644417
Mut	2'FL	12	3	0.054978072
Mut	2'FL	24	1	0.000197121
Mut	2'FL	24	2	0.000316528
Mut	2'FL	24	3	0.000196693
WT	3FL	0	1	6.428445052
WT	3FL	0	2	6.245323918
WT	3FL	0	3	7.036496388
WT	3FL	4	1	6.100742821
WT	3FL	4	2	6.405599022
WT	3FL	4	3	6.424394117
WT	3FL	8	1	3.115072941
WT	3FL	8	2	3.052240577
WT	3FL	8	3	3.199381019
WT	3FL	12	1	0.034681586
WT	3FL	12	2	0.031835206
WT	3FL	12	3	0.033218522
WT	3FL	24	1	0.02957636
WT	3FL	24	2	0.033013549
WT	3FL	24	3	0.027245577
Mut	3FL	0	1	6.029227426
Mut	3FL	0	2	8.05575212
Mut	3FL	0	3	8.177988995
Mut	3FL	4	1	6.166361173
Mut	3FL	4	2	6.17905389
Mut	3FL	4	3	6.051702135
Mut	3FL	8	1	1.801719069
Mut	3FL	8	2	1.782327496
Mut	3FL	8	3	1.833998448
Mut	3FL	12	1	0.068860615
Mut	3FL	12	2	0.048899166
