strain	scfa	time	replicate	conc	conc_substr
WT	Lactate	0	1	26.40916267	0
WT	Lactate	0	2	26.47448809	0
WT	Lactate	0	3	26.64596732	0
WT	Lactate	4	1	33.07235568	6.663193013
WT	Lactate	4	2	33.04785865	6.573370558
WT	Lactate	4	3	28.70644	2.060472676
WT	Lactate	8	1	42.920163	16.51100033
WT	Lactate	8	2	44.17767737	17.70318928
WT	Lactate	8	3	40.40241237	13.75644505
WT	Lactate	12	1	56.96240678	30.55324411
WT	Lactate	12	2	57.4278504	30.95336232
WT	Lactate	12	3	55.07069144	28.42472412
WT	Lactate	24	1	59.9945951	33.58543243
WT	Lactate	24	2	56.60856074	30.13407265
WT	Lactate	24	3	61.10784916	34.46188184
WT	Acetate	0	1	55.65063329	0
WT	Acetate	0	2	56.2102242	0
WT	Acetate	0	3	56.45043883	0
WT	Acetate	4	1	65.0899765	9.439343205
WT	Acetate	4	2	65.48851441	9.278290213
WT	Acetate	4	3	59.39033838	2.939899547
WT	Acetate	8	1	76.10163367	20.45100037
WT	Acetate	8	2	77.40643588	21.19621168
WT	Acetate	8	3	72.78776361	16.33732478
WT	Acetate	12	1	93.32065534	37.67002205
WT	Acetate	12	2	92.99036022	36.78013602
WT	Acetate	12	3	90.41078262	33.96034379
WT	Acetate	24	1	94.79469968	39.14406639
WT	Acetate	24	2	92.91938771	36.70916351
WT	Acetate	24	3	98.45251341	42.00207458
WT	Formate	0	1	0.719589758	0
WT	Formate	0	2	0.75407489	0
WT	Formate	0	3	0.705795705	0
WT	Formate	4	1	0.954088656	0.234498899
WT	Formate	4	2	0.954088656	0.200013767
WT	Formate	4	3	0.85063326	0.144837555
WT	Formate	8	1	1.292042952	0.572453194
WT	Formate	8	2	1.234567731	0.480492841
WT	Formate	8	3	1.386302313	0.680506608
WT	Formate	12	1	1.917373348	1.19778359
WT	Formate	12	2	1.908177313	1.154102423
WT	Formate	12	3	1.908177313	1.202381608
WT	Formate	24	1	4.958962004	4.239372247
WT	Formate	24	2	4.708370044	3.954295154
WT	Formate	24	3	4.96815804	4.262362335
Mut	Lactate	0	1	25.53815705	0
Mut	Lactate	0	2	25.3340151	0
Mut	Lactate	0	3	25.71235817	0
Mut	Lactate	4	1	30.06466439	4.526507345
Mut	Lactate	4	2	30.71791861	5.383903505
Mut	Lactate	4	3	28.91058194	3.198223771
Mut	Lactate	8	1	33.45342064	7.915263596
Mut	Lactate	8	2	33.91342049	8.579405383
Mut	Lactate	8	3	32.74572857	7.033370403
Mut	Lactate	12	1	41.35507477	15.81691773
Mut	Lactate	12	2	40.48951294	15.15549783
Mut	Lactate	12	3	38.95164363	13.23928546
Mut	Lactate	24	1	55.5960167	30.05785966
Mut	Lactate	24	2	45.23377169	19.89975659
Mut	Lactate	24	3	58.31246549	32.60010732
Mut	Acetate	0	1	55.09923152	0
Mut	Acetate	0	2	54.88085458	0
Mut	Acetate	0	3	55.80895657	0
Mut	Acetate	4	1	63.68690466	8.587673142
Mut	Acetate	4	2	64.72419512	9.843340543
Mut	Acetate	4	3	61.39121709	5.582260513
Mut	Acetate	8	1	75.38098977	20.28175825
Mut	Acetate	8	2	75.28272014	20.40186556
Mut	Acetate	8	3	72.74954765	16.94059107
Mut	Acetate	12	1	90.00405557	34.90482405
Mut	Acetate	12	2	88.72655048	33.84569589
Mut	Acetate	12	3	86.01048729	30.20153072
Mut	Acetate	24	1	110.7798916	55.68066012
Mut	Acetate	24	2	92.58090346	37.70004887
Mut	Acetate	24	3	113.2748482	57.4658916
Mut	Formate	0	1	0.673609581	0
Mut	Formate	0	2	0.705795705	0
Mut	Formate	0	3	0.685104626	0
Mut	Formate	4	1	1.413890419	0.740280837
Mut	Formate	4	2	1.33342511	0.627629405
Mut	Formate	4	3	1.305837004	0.620732379
Mut	Formate	8	1	5.080809471	4.40719989
Mut	Formate	8	2	4.94746696	4.241671256
Mut	Formate	8	3	4.876197687	4.191093062
Mut	Formate	12	1	9.306387665	8.632778084
Mut	Formate	12	2	9.373058921	8.667263216
Mut	Formate	12	3	9.083383811	8.398279185
Mut	Formate	24	1	13.68370044	13.01009086
Mut	Formate	24	2	11.72264593	11.01685022
Mut	Formate	24	3	14.16649229	13.48138767
