target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	2540	215.294
Blon_0002	387	188	15	8.81879
Blon_0003	1125	926	1872	223.445
Blon_0004	1239	1040	476	50.5882
Blon_0005	471	272	103	41.8547
Blon_0006	2130	1931	5271	301.708
Blon_0007	2652	2453	7134	321.448
Blon_0008	567	368	2272	682.395
Blon_0009	1422	1223	460	41.5726
Blon_0010	225	29.9375	7	25.8439
Blon_0011	1347	1148	5766	555.147
Blon_0012	291	92.0002	282	338.794
Blon_0013	279	80.003	252	348.153
Blon_0016	261	62.0706	6	10.6842
Blon_0017	645	446	49	12.1433
Blon_0018	276	77.0053	6	8.61204
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	246	25.5546
Blon_0020	777	578	176	33.6558
Blon_0021	804	605	255	46.5865
Blon_0022	765	566	242	47.2579
Blon_0023	939	740	419	62.5832
Blon_0024	870	671	904	148.909
Blon_0025	720	521	638	135.35
Blon_0026	1287	1088	1031	104.738
Blon_0027	807	608	227	41.2665
Blon_0028	1314	1115	471	46.6898
Blon_0029	480	281	7028	2764.4
Blon_0030	1344	1145	716	69.1167
Blon_0031	1137	938	305	35.9395
Blon_0034	630	431	235	60.2651
Blon_0035	564	365	1143	346.122
Blon_0036	1917	1718	872	56.1008
Blon_0037	1287	1088	1010	102.605
Blon_0038	471	272	42	17.0669
Blon_0039	1356	1157	393	37.5435
Blon_0040	1245	1046	315	33.2854
Blon_0041	1563	1364	186	15.0721
Blon_0042	1023	824	160	21.4619
Blon_0043	1308	1109	150	14.9498
Blon_0044	906	707	37	5.78439
Blon_0045	879	680	66	10.7278
Blon_0046	1182	983	250	28.1101
Blon_0047	843	644	26	4.46234
Blon_0049	1224	1025	196	21.1353
Blon_0050	495	296	84	31.3663
Blon_0051	1650	1451	202	15.3872
Blon_0053	1713	1514	1154	84.2472
Blon_0054	972	773	257	36.7476
Blon_0055	948	749	286	42.2046
Blon_0056	1920	1721	621	39.8829
Blon_0057	534	335	101	33.3236
Blon_0058	639	440	240	60.2884
Blon_0059	2754	2555	16441	711.235
Blon_0060	1881	1682	810	53.2273
Blon_0061	1662	1463	396	29.9176
Blon_0062	996	797	33	4.57648
Blon_0063	1482	1283	237	20.4172
Blon_0064	1092	893	1413	174.89
Blon_0065	387	188	539	316.888
Blon_0066	672	473	988	230.872
Blon_0067	1152	953	688	79.7942
Blon_0068	1398	1199	441	40.6532
Blon_0069	417	218	83	42.0821
Blon_0070	2526	2327	8247	391.719
Blon_0071	219	25.9389	316	1346.52
Blon_0072	855	656	337	56.7808
Blon_0073	471	272	1299	527.856
Blon_0074	801	602	616	113.099
