locus_tag	seed_id
Blon_2447	fig|391904.5.peg.2460
Blon_2197	fig|391904.5.peg.2206
Blon_2180	fig|391904.5.peg.2190
Blon_1725	fig|391904.5.peg.1734
Blon_2372	fig|391904.5.peg.2389
Blon_1984	fig|391904.5.peg.1997
Blon_0652	fig|391904.5.peg.640
Blon_2210	fig|391904.5.peg.2219
Blon_1212	fig|391904.5.peg.1214
Blon_1446	fig|391904.5.peg.1460
Blon_1423	fig|391904.5.peg.1437
Blon_0006	fig|391904.5.peg.5
Blon_1866	fig|391904.5.peg.1871
Blon_1105	fig|391904.5.peg.1101
Blon_0855	fig|391904.5.peg.856
Blon_0046	fig|391904.5.peg.44
Blon_0970	fig|391904.5.peg.974
Blon_1808	fig|391904.5.peg.1813
Blon_2023	fig|391904.5.peg.2037
Blon_0844	fig|391904.5.peg.845
Blon_0308	fig|391904.5.peg.307
Blon_0157	fig|391904.5.peg.159
Blon_0436	fig|391904.5.peg.439
Blon_1852	fig|391904.5.peg.1858
Blon_1812	fig|391904.5.peg.1816
Blon_0828	fig|391904.5.peg.828
Blon_1421	fig|391904.5.peg.1435
Blon_1140	fig|391904.5.peg.1137
Blon_2300	fig|391904.5.peg.2310
Blon_1213	fig|391904.5.peg.1215
Blon_2077	fig|391904.5.peg.2096
Blon_2224	fig|391904.5.peg.2233
Blon_0125	fig|391904.5.peg.126
Blon_1926	-
Blon_1572	fig|391904.5.peg.1587
Blon_1135	fig|391904.5.peg.1132
Blon_0816	fig|391904.5.peg.814
Blon_0961	fig|391904.5.peg.965
Blon_0151	fig|391904.5.peg.155
Blon_1312	-
Blon_0978	fig|391904.5.peg.982
Blon_1699	fig|391904.5.peg.1707
Blon_0285	-
Blon_2323	fig|391904.5.peg.2335
Blon_2489	fig|391904.5.peg.2502
Blon_1116	fig|391904.5.peg.1112
Blon_1018	fig|391904.5.peg.1020
Blon_1776	fig|391904.5.peg.1780
Blon_1554	fig|391904.5.peg.1569
Blon_1577	fig|391904.5.peg.1591
Blon_0513	fig|391904.5.peg.504
Blon_1193	fig|391904.5.peg.1190
Blon_2289	fig|391904.5.peg.2299
Blon_0824	fig|391904.5.peg.824
Blon_0065	fig|391904.5.peg.62
Blon_1721	fig|391904.5.peg.1729
Blon_2065	fig|391904.5.peg.2083
Blon_0508	-
Blon_0447	fig|391904.5.peg.449
Blon_0076	fig|391904.5.peg.73
Blon_0626	fig|391904.5.peg.611
Blon_1030	fig|391904.5.peg.1027
Blon_0910	fig|391904.5.peg.914
Blon_0972	fig|391904.5.peg.976
Blon_1535	fig|391904.5.peg.1550
Blon_0588	fig|391904.5.peg.574
Blon_1493	-
Blon_0736	fig|391904.5.peg.729
Blon_0049	fig|391904.5.peg.47
Blon_1477	fig|391904.5.peg.1492
Blon_0931	fig|391904.5.peg.935
Blon_2146	fig|391904.5.peg.2158
Blon_0569	fig|391904.5.peg.553
Blon_1970	fig|391904.5.peg.1982
Blon_1988	fig|391904.5.peg.2001
Blon_1728	fig|391904.5.peg.1737
Blon_1346	fig|391904.5.peg.1356
Blon_1223	fig|391904.5.peg.1226
