target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	2870	187.421
Blon_0002	387	188	22	9.96503
Blon_0003	1125	926	2545	234.04
Blon_0004	1239	1040	615	50.3565
Blon_0005	471	272	148	46.3347
Blon_0006	2130	1931	7232	318.926
Blon_0007	2652	2453	10489	364.125
Blon_0008	567	368	3488	807.128
Blon_0009	1422	1223	614	42.7519
Blon_0010	225	29.9375	10	28.4445
Blon_0011	1347	1148	8928	662.256
Blon_0012	291	92.0002	353	326.738
Blon_0013	279	80.003	247	262.909
Blon_0016	261	62.0706	6	8.2315
Blon_0017	645	446	42	8.01915
Blon_0018	276	77.0053	10	11.0584
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	221	17.6874
Blon_0020	777	578	139	20.4786
Blon_0021	804	605	203	28.5729
Blon_0022	765	566	183	27.5327
Blon_0023	939	740	337	38.7804
Blon_0024	870	671	650	82.4906
Blon_0025	720	521	559	91.3667
Blon_0026	1287	1088	961	75.2156
Blon_0027	807	608	231	32.3536
Blon_0028	1314	1115	805	61.4801
Blon_0029	480	281	12832	3888.68
Blon_0030	1344	1145	907	67.4552
Blon_0031	1137	938	320	29.051
Blon_0034	630	431	311	61.4465
Blon_0035	564	365	2840	662.581
Blon_0036	1917	1718	1330	65.9238
Blon_0037	1287	1088	1293	101.201
Blon_0038	471	272	42	13.149
Blon_0039	1356	1157	400.714	29.4927
Blon_0040	1245	1046	261	21.2482
Blon_0041	1563	1364	169	10.5508
Blon_0042	1023	824	218	22.5291
Blon_0043	1308	1109	168	12.9001
Blon_0044	906	707	30	3.6134
Blon_0045	879	680	71	8.89126
Blon_0046	1182	983	296	25.642
Blon_0047	843	644	47	6.21478
Blon_0049	1224	1025	284	23.5944
Blon_0050	495	296	116	33.3718
Blon_0051	1650	1451	208	12.207
Blon_0053	1713	1514	1236	69.5194
Blon_0054	972	773	294	32.3878
Blon_0055	948	749	331	37.6322
Blon_0056	1920	1721	752	37.2092
Blon_0057	534	335	102	25.928
Blon_0058	639	440	304	58.8348
Blon_0059	2754	2555	22565	752.07
Blon_0060	1881	1682	894	45.2611
Blon_0061	1662	1463	482	28.0554
Blon_0062	996	797	32	3.41905
Blon_0063	1482	1283	274	18.186
Blon_0064	1092	893	1773	169.072
Blon_0065	387	188	571	258.638
Blon_0066	672	473	1146	206.318
Blon_0067	1152	953	848	75.7734
Blon_0068	1398	1199	532	37.7838
Blon_0069	417	218	107	41.7966
Blon_0070	2526	2327	10548	386
Blon_0071	219	25.9389	603	1979.61
Blon_0072	855	656	438	56.857
Blon_0073	471	272	1683	526.901
Blon_0074	801	602	899	127.168
Blon_0075	1143	944	1246	112.398
Blon_0076	645	446	1162	221.863
Blon_0077	2088	1889	5163	232.747
Blon_0078	951	752	1584	179.371
Blon_0079	1467	1268	2791	187.437
Blon_0080	1560	1361	2891	180.885
Blon_0081	1695	1496	4735	269.527
Blon_0082	525	326	1189	310.583
Blon_0083	702	503	3879	656.698
Blon_0084	2373	2174	2726	106.778
Blon_0085	1092	893	1174	111.952
Blon_0086	957	758	1014	113.915
Blon_0087	1377	1178	5312	383.996
Blon_0088	2643	2444	10299	358.846
Blon_0089	975	776	1110	121.808
Blon_0090	600	401	635	134.848
Blon_0091	951	752	829	93.8751
Blon_0092	1173	974	1401	122.488
Blon_0093	333	134	176	111.846
Blon_0094	843	644	718	94.9407
Blon_0095	423	224	76	28.8921
Blon_0096	615	416	846	173.177
Blon_0097	321	122	510	355.979
Blon_0098	348	149	379	216.604
Blon_0099	240	42.049	159	322
Blon_R0003	86	3.85692	0	0
Blon_0101	1314	1115	1026	78.3585
Blon_0102	2052	1853	20413	938.091
Blon_0103	2163	1964	4601	199.492
Blon_0104	1302	1103	204	15.7496
Blon_0105	885	686	145	17.9994
Blon_0106	1116	917	176	16.3439
Blon_0107	813	614	112	15.5333
Blon_0108	711	512	106	17.6299
Blon_0109	975	776	410	44.9921
Blon_0110	699	500	277	47.1763
Blon_0111	1722	1523	703	39.3069
Blon_0112	666	467	288	52.5157
Blon_0113	822	623	569	77.7746
Blon_0114	612	413	198	40.8252
Blon_0115	855	656	239	31.0247
Blon_0116	1452	1253	4353	295.836
Blon_0117	939	740	4376	503.569
Blon_R0004	74	3.56892	0	0
Blon_0118	1176	977	1866	162.641
Blon_0119	639	440	492	95.2195
Blon_0120	1089	890	1009	96.5417
Blon_0121	627	428	275	54.7145
Blon_0122	189	13.1915	15	96.8298
Blon_0123	1287	1088	5241	410.203
Blon_0124	1515	1316	1215	78.6202
Blon_0125	1041	842	675	68.2661
Blon_0126	396	197	204	88.1815
Blon_0127	1086	887	366	35.1375
Blon_0128	1527	1328	437	28.0219
Blon_0129	1638	1439	2081	123.147
Blon_0130	1368	1169	643	46.8393
Blon_0131	1053	854	2825.31	281.723
Blon_0132	594	395	576	124.176
Blon_0133	735	536	1033	164.115
Blon_0134	567	368	1463	338.54
Blon_0135	366	167	25	12.7479
Blon_0136	1053	854	6276.69	625.873
Blon_0137	1818	1619	996	52.3873
Blon_0138	1035	836	673	68.5524
Blon_0139	2238	2039	2912	121.615
Blon_0140	2079	1880	125	5.66195
Blon_0141	1896	1697	9678	485.643
Blon_0142	687	488	2525	440.611
Blon_0143	1011	812	2471	259.138
Blon_0144	588	389	436	95.4444
Blon_0145	1353	1154	301	22.2113
Blon_0146	1122	923	398	36.7194
Blon_0147	1500	1301	360	23.5635
Blon_0148	804	605	224	31.5287
Blon_0149	672	473	465	83.7154
Blon_0150	726	527	1130	182.592
Blon_0151	951	752	69	7.81349
Blon_0152	1068	869	28	2.7438
Blon_0153	654	455	21	3.93026
Blon_0154	603	404	15	3.16172
Blon_0155	288	89.0004	13	12.4384
Blon_0156	387	188	14	6.34138
Blon_0157	378	179	14	6.66022
Blon_0158	1131	932	830	75.8361
Blon_0159	600	401	259	55.0008
Blon_0160	2772	2573	2010	66.5227
Blon_0161	603	404	265	55.8571
Blon_0162	1134	935	197	17.9419
Blon_0163	492	293	60	17.438
Blon_0164	765	566	1259	189.419
Blon_0165	567	368	771	178.41
Blon_0166	1095	896	1000	95.0398
Blon_0167	621	422	572	115.424
Blon_0168	1581	1382	1937	119.354
Blon_0169	510	311	130	35.5956
Blon_0170	1917	1718	6890	341.515
Blon_0171	2322	2123	2896	116.162
Blon_0172	963	764	1275	142.112
Blon_0173	3084	2885	4920	145.222
Blon_0174	702	503	450	76.183
Blon_0175	1152	953	819	73.1821
Blon_0176	630	431	419	82.7848
Blon_0177	261	62.0706	1365	1872.67
Blon_0178	1650	1451	2331	136.801
Blon_0179	555	356	646	154.524
Blon_0180	1602	1403	4028	244.481
Blon_0181	1518	1319	10848	700.356
Blon_0182	348	149	608	347.481
Blon_0183	618	419	1721	349.768
Blon_0184	1422	1223	581	40.4542
Blon_0185	1452	1253	1703	115.738
Blon_0186	660	461	273	50.4284
Blon_0187	909	710	712	85.3956
Blon_0188	876	677	1019	128.174
Blon_0189	1128	929	2225	203.952
Blon_0190	417	218	136	53.1247
Blon_0191	1521	1322	6327	407.549
Blon_R0006	76	3.6135	0	0
Blon_R0007	75	3.59105	0	0
Blon_0192	498	299	265	75.4724
Blon_0193	849	650	199	26.0707
Blon_0194	714	515	282	46.6289
Blon_R0008	88	3.91013	0	0
Blon_0195	1644	1445	96	5.6574
Blon_0196	1929	1730	437	21.5104
Blon_0197	696	497	335	57.3987
Blon_0198	1269	1070	593	47.1938
Blon_0199	1305	1106	411	31.6447
Blon_0200	1224	1025	467	38.7978
Blon_0201	798	599	350	49.7571
Blon_0202	564	365	310	72.324
Blon_0203	600	401	294	62.4334
Blon_0204	2163	1964	1416	61.3953
Blon_0205	2631	2432	2239	78.3979
Blon_0206	1287	1088	4726	369.895
Blon_0207	1530	1331	6009	384.448
Blon_0208	843	644	421	55.6686
Blon_0209	1026	827	953	98.1298
Blon_0210	1539	1340	1320	83.8847
Blon_R0009	76	3.6135	0	0
Blon_0211	567	368	174	40.2638
Blon_0212	156	7.59116	0	0
Blon_0213	300	101	45	37.9406
Blon_0214	1263	1064	210	16.807
Blon_0215	669	470	325	58.8843
Blon_0216	1167	968	492	43.2816
Blon_0217	285	86.0009	43	42.5774
Blon_0218	1638	1439	1924	113.857
Blon_0219	1035	836	729	74.2566
Blon_0220	930	731	454	52.8874
Blon_0221	294	95.0001	246	220.508
Blon_0222	1263	1064	2615	209.288
Blon_0223	1296	1097	2790	216.576
Blon_0224	339	140	721	438.552
Blon_0225	1842	1643	497	25.7592
Blon_0226	1446	1247	286	19.5305
Blon_0227	1461	1262	1195	80.6347
Blon_0228	1482	1283	1248	82.8327
Blon_0229	753	554	538	82.6963
Blon_0230	288	89.0004	896	857.293
Blon_0231	1821	1622	4535	238.089
Blon_0232	837	638	662	88.359
Blon_0233	1014	815	3085	322.338
Blon_0234	291	92.0002	3439	3183.15
Blon_0235	660	461	14449	2669.01
Blon_0236	249	50.3754	5095	8612.71
Blon_0237	447	248	12991	4460.72
Blon_R0010	74	3.56892	0	0
Blon_0238	237	39.4185	25	54.0075
Blon_0239	693	494	79	13.618
Blon_0240	705	506	94	15.8194
Blon_0241	771	572	116	17.2693
Blon_0242	933	734	80	9.28127
Blon_0243	603	404	197	41.5239
Blon_0244	1179	980	432	37.538
Blon_0245	1206	1007	594	50.2309
Blon_0247	1218	1019	207.5	17.3403
Blon_0248	1350	1151	310.468	22.9697
Blon_0249	249	50.3754	6	10.1425
Blon_0250	735	536	1147	182.227
Blon_0251	2667	2468	2329	80.3596
Blon_0252	282	83.0016	71	72.8426
Blon_0253	1425	1226	828	57.5113
Blon_0254	630	431	552	109.063
Blon_0255	849	650	516	67.6005
Blon_0256	363	164	44	22.8466
Blon_0257	969	770	22	2.43302
Blon_0258	351	152	1956	1095.82
Blon_0259	1542	1343	9817	622.467
Blon_0260	1500	1301	12387	810.779
Blon_0261	1065	866	5562	546.924
Blon_0262	315	116	739	542.5
Blon_0263	1872	1673	2026	103.123
Blon_0264	1614	1415	8233	495.468
Blon_0265	2064	1865	7238	330.486
Blon_0266	1149	950	1495	134.008
Blon_0267	1446	1247	488	33.3248
Blon_0268	1821	1622	677	35.5428
Blon_0270	1359	1160	205	15.0491
Blon_0271	1464	1265	140	9.42435
Blon_0273	390	191	430	191.712
Blon_0274	2043	1844	1738	80.2606
Blon_0275	2736	2537	13731	460.888
Blon_0276	1467	1268	787	52.8529
Blon_0277	687	488	343	59.8533
Blon_0278	801	602	1630	230.571
Blon_0279	705	506	1741	292.996
Blon_0280	579	380	2438	546.341
Blon_0281	495	296	7586	2182.4
Blon_0282	2094	1895	4767	214.215
Blon_0283	1968	1769	234	11.2642
Blon_0284	162	8.26769	0	0
Blon_0285	735	536	54	8.57912
Blon_0286	348	149	17	9.71575
Blon_0287	888	689	74.831	9.2486
Blon_0288	1224	1025	184	15.2865
Blon_0290	501	302	28	7.89523
Blon_0291	396	197	46	19.8841
Blon_0292	552	353	53	12.7854
Blon_0293	216	24.1385	2	7.05559
Blon_0294	192	14.0216	1	6.07318
Blon_0295	411	212	18	7.2302
Blon_0296	849	650	34	4.4543
Blon_0297	168	9.06081	1	9.39825
Blon_0298	1068	869	78	7.64343
Blon_R0011	77	3.63627	0	0
Blon_0299	132	5.68809	0	0
Blon_0300	285	86.0009	225	222.789
Blon_0301	282	83.0016	116	119.01
Blon_0302	1035	836	603	61.4221
Blon_0303	813	614	6193	858.908
Blon_0304	231	34.449	2147	5307.25
Blon_0305	519	320	15183	4040.37
Blon_0306	837	638	19261	2570.82
Blon_0307	1632	1433	51357	3051.88
Blon_0308	924	725	21776	2557.72
Blon_0309	1473	1274	37257	2490.3
Blon_0310	294	95.0001	4887	4380.58
Blon_0311	771	572	806	119.992
Blon_0312	990	791	1986	213.804
Blon_0313	1071	872	2858	279.1
Blon_0314	1008	809	2490	262.098
Blon_0315	975	776	2042	224.082
Blon_0316	627	428	819	162.95
Blon_R0012	76	3.6135	0	0
Blon_0317	390	191	328	146.236
Blon_0318	993	794	1048	112.397
Blon_0319	1002	803	2251	238.712
Blon_0320	1188	989	2803	241.346
Blon_0321	1167	968	451	39.6748
Blon_0322	948	749	101	11.4829
