target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	1313	169.327
Blon_0002	387	188	5	4.47251
Blon_0003	1125	926	1634	296.743
Blon_0004	1239	1040	384	62.0922
Blon_0005	471	272	79	48.8424
Blon_0006	2130	1931	4082	355.492
Blon_0007	2652	2453	5589	383.156
Blon_0008	567	368	1648	753.093
Blon_0009	1422	1223	184	25.3006
Blon_0010	225	29.9375	2	11.2345
Blon_0011	1347	1148	5352	783.995
Blon_0012	291	92.0002	139	254.077
Blon_0013	279	80.003	119	250.138
Blon_0016	261	62.0706	3	8.12783
Blon_0017	645	446	62	23.3774
Blon_0018	276	77.0053	7	15.2868
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	135	21.3369
Blon_0020	777	578	56	16.2929
Blon_0021	804	605	106	29.4639
Blon_0022	765	566	115	34.1681
Blon_0023	939	740	206	46.8139
Blon_0024	870	671	391	97.9926
Blon_0025	720	521	322	103.934
Blon_0026	1287	1088	484	74.8093
Blon_0027	807	608	145	40.1055
Blon_0028	1314	1115	285	42.9842
Blon_0029	480	281	4842	2897.73
Blon_0030	1344	1145	646	94.8781
Blon_0031	1137	938	146	26.1752
Blon_0034	630	431	147	57.356
Blon_0035	564	365	1038	478.238
Blon_0036	1917	1718	704	68.911
Blon_0037	1287	1088	437	67.5448
Blon_0038	471	272	12	7.4191
Blon_0039	1356	1157	225.286	32.7446
Blon_0040	1245	1046	89	14.3086
Blon_0041	1563	1364	36	4.43841
Blon_0042	1023	824	95	19.3881
Blon_0043	1308	1109	104	15.7703
Blon_0044	906	707	28	6.66005
Blon_0045	879	680	29	7.1718
Blon_0046	1182	983	171	29.2538
Blon_0047	843	644	11	2.87241
Blon_0049	1224	1025	130	21.3284
Blon_0050	495	296	36	20.4527
Blon_0051	1650	1451	116	13.444
Blon_0053	1713	1514	570	63.3123
Blon_0054	972	773	129	28.064
Blon_0055	948	749	140	31.433
Blon_0056	1920	1721	305	29.8029
Blon_0057	534	335	36	18.0716
Blon_0058	639	440	134	51.2143
Blon_0059	2754	2555	15308	1007.55
Blon_0060	1881	1682	500	49.99
Blon_0061	1662	1463	224	25.748
Blon_0062	996	797	21	4.43098
Blon_0063	1482	1283	206	27.001
Blon_0064	1092	893	989	186.245
Blon_0065	387	188	333	297.869
Blon_0066	672	473	523	185.943
Blon_0067	1152	953	368	64.9373
Blon_0068	1398	1199	209	29.3134
Blon_0069	417	218	43	33.1704
Blon_0070	2526	2327	9453	683.144
Blon_0071	219	25.9389	157	1017.86
Blon_0072	855	656	294	75.3672
Blon_0073	471	272	700	432.781
Blon_0074	801	602	415	115.929
Blon_0075	1143	944	714	127.194
Blon_0076	645	446	558	210.396
Blon_0077	2088	1889	2861	254.698
Blon_0078	951	752	757	169.285
Blon_0079	1467	1268	1509	200.129
Blon_0080	1560	1361	1573	194.361
Blon_0081	1695	1496	2254	253.374
Blon_0082	525	326	718	370.379
Blon_0083	702	503	1804	603.126
Blon_0084	2373	2174	1477	114.251
Blon_0085	1092	893	657	123.724
Blon_0086	957	758	430	95.3978
Blon_0087	1377	1178	1732	247.253
Blon_0088	2643	2444	2948	202.846
Blon_0089	975	776	587	127.208
Blon_0090	600	401	443	185.78
Blon_0091	951	752	423	94.5936
Blon_0092	1173	974	731	126.211
Blon_0093	333	134	88	110.438
Blon_0094	843	644	431	112.546
Blon_0095	423	224	25	18.7686
Blon_0096	615	416	82	33.1482
Blon_0097	321	122	329	453.498
Blon_0098	348	149	232	261.843
Blon_0099	240	42.049	89	355.938
Blon_R0003	86	3.85692	0	0
Blon_0101	1314	1115	431	65.0042
Blon_0102	2052	1853	9500	862.159
Blon_0103	2163	1964	1706	146.075
Blon_0104	1302	1103	45	6.86082
Blon_0105	885	686	43	10.541
Blon_0106	1116	917	45	8.25244
Blon_0107	813	614	36	9.85992
Blon_0108	711	512	30	9.8535
Blon_0109	975	776	144	31.2061
Blon_0110	699	500	110	36.9966
Blon_0111	1722	1523	308	34.0087
Blon_0112	666	467	110	39.6109
Blon_0113	822	623	180	48.5874
Blon_0114	612	413	80	32.5746
Blon_0115	855	656	80	20.5081
Blon_0116	1452	1253	2420	324.791
Blon_0117	939	740	3111	706.981
Blon_R0004	74	3.56892	0	0
Blon_0118	1176	977	691	118.939
Blon_0119	639	440	367	140.266
Blon_0120	1089	890	705	133.21
Blon_0121	627	428	127	49.8998
Blon_0122	189	13.1915	8	101.984
Blon_0123	1287	1088	2919	451.174
Blon_0124	1515	1316	638	81.5275
Blon_0125	1041	842	280	55.9223
Blon_0126	396	197	66	56.34
Blon_0127	1086	887	182	34.5054
Blon_0128	1527	1328	188	23.8067
Blon_0129	1638	1439	1686	197.032
Blon_0130	1368	1169	320	46.0336
Blon_0131	1053	854	1806.4	355.71
Blon_0132	594	395	125	53.2172
Blon_0133	735	536	315	98.8291
Blon_0134	567	368	411	187.816
Blon_0135	366	167	8	8.05587
Blon_0136	1053	854	2677.6	527.262
Blon_0137	1818	1619	536	55.6746
Blon_0138	1035	836	1008	202.765
Blon_0139	2238	2039	8528	703.346
Blon_0140	2079	1880	49	4.38306
Blon_0141	1896	1697	9379	929.424
Blon_0142	687	488	3016	1039.32
Blon_0143	1011	812	2497	517.132
Blon_0144	588	389	556	240.361
Blon_0145	1353	1154	147	21.4215
Blon_0146	1122	923	220	40.083
Blon_0147	1500	1301	216	27.92
Blon_0148	804	605	125	34.7451
Blon_0149	672	473	252	89.5939
Blon_0150	726	527	483	154.126
Blon_0151	951	752	27	6.03789
Blon_0152	1068	869	19	3.67683
Blon_0153	654	455	8	2.95677
Blon_0154	603	404	12	4.99504
Blon_0155	288	89.0004	3	5.6685
Blon_0156	387	188	8	7.15602
Blon_0157	378	179	17	15.9711
Blon_0158	1131	932	535	96.5333
Blon_0159	600	401	115	48.2273
Blon_0160	2772	2573	1147	74.9657
Blon_0161	603	404	145	60.3567
Blon_0162	1134	935	124	22.3023
Blon_0163	492	293	33	18.9402
Blon_0164	765	566	876	260.272
Blon_0165	567	368	502	229.401
Blon_0166	1095	896	744	139.638
Blon_0167	621	422	332	132.302
Blon_0168	1581	1382	1172	142.613
Blon_0169	510	311	35	18.9255
Blon_0170	1917	1718	4420	432.652
Blon_0171	2322	2123	1306	103.45
Blon_0172	963	764	640	140.872
Blon_0173	3084	2885	2545	148.348
Blon_0174	702	503	193	64.5251
Blon_0175	1152	953	449	79.2305
Blon_0176	630	431	134	52.2837
Blon_0177	261	62.0706	356	964.502
Blon_0178	1650	1451	1880	217.886
Blon_0179	555	356	593	280.12
Blon_0180	1602	1403	2935	351.795
Blon_0181	1518	1319	7156	912.357
Blon_0182	348	149	375	423.238
Blon_0183	618	419	465	186.629
Blon_0184	1422	1223	147	20.213
Blon_0185	1452	1253	776	104.148
Blon_0186	660	461	206	75.1459
Blon_0187	909	710	524	124.112
Blon_0188	876	677	771	191.516
Blon_0189	1128	929	1926	348.642
Blon_0190	417	218	41	31.6276
Blon_0191	1521	1322	4018	511.114
Blon_R0006	76	3.6135	0	0
Blon_R0007	75	3.59105	0	0
Blon_0192	498	299	105	59.0551
Blon_0193	849	650	92	23.802
Blon_0194	714	515	183	59.7562
Blon_R0008	88	3.91013	0	0
Blon_0195	1644	1445	75	8.72836
Blon_0196	1929	1730	163	15.8446
Blon_0197	696	497	192	64.9657
Blon_0198	1269	1070	251	39.4484
Blon_0199	1305	1106	222	33.7549
Blon_0200	1224	1025	243	39.8677
Blon_0201	798	599	153	42.954
Blon_0202	564	365	191	87.9994
Blon_0203	600	401	102	42.7755
Blon_0204	2163	1964	581	49.7478
Blon_0205	2631	2432	784	54.2115
Blon_0206	1287	1088	2640	408.051
Blon_0207	1530	1331	2642	333.806
Blon_0208	843	644	235	61.3651
Blon_0209	1026	827	686	139.495
Blon_0210	1539	1340	973	122.109
Blon_R0009	76	3.6135	0	0
Blon_0211	567	368	62	28.3324
Blon_0212	156	7.59116	0	0
Blon_0213	300	101	7	11.6551
Blon_0214	1263	1064	68	10.7475
Blon_0215	669	470	152	54.3857
Blon_0216	1167	968	238	41.3467
Blon_0217	285	86.0009	15	29.3311
Blon_0218	1638	1439	1246	145.612
Blon_0219	1035	836	309	62.1572
Blon_0220	930	731	275	63.2637
Blon_0221	294	95.0001	141	249.594
Blon_0222	1263	1064	1674	264.578
Blon_0223	1296	1097	1681	257.692
Blon_0224	339	140	322	386.783
