seed_id	annotation
fig|391904.5.peg.1	Chromosomal replication initiator protein DnaA
fig|391904.5.peg.2	DNA polymerase III beta subunit (EC 2.7.7.7)
fig|391904.5.peg.3	DNA recombination and repair protein RecF
fig|391904.5.peg.4	"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"
fig|391904.5.peg.5	DNA gyrase subunit B (EC 5.99.1.3)
fig|391904.5.peg.6	DNA gyrase subunit A (EC 5.99.1.3)
fig|391904.5.peg.7	FIG187021: hypothetical protein
fig|391904.5.peg.8	"archaeal ATPase, fused to C-terminal DUF234 domain"
fig|391904.5.peg.9	hypothetical protein
fig|391904.5.peg.10	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)
fig|391904.5.peg.11	Antitoxin DinJ (binds YafQ toxin)
fig|391904.5.peg.12	hypothetical protein
fig|391904.5.peg.13	Transposase
fig|391904.5.peg.14	hypothetical protein
fig|391904.5.peg.15	"2&#39;,3&#39;-cyclic-nucleotide 2&#39;-phosphodiesterase (EC 3.1.4.16)"
fig|391904.5.peg.16	Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)
fig|391904.5.peg.17	Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)
fig|391904.5.peg.18	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.19	Phosphonate ABC transporter substrate-binding protein PhnD (TC 3.A.1.9.1)
fig|391904.5.peg.20	Transcriptional regulator
fig|391904.5.peg.21	hypothetical protein
fig|391904.5.peg.22	hypothetical protein
fig|391904.5.peg.23	ATPase
fig|391904.5.peg.24	hypothetical protein
fig|391904.5.peg.25	hypothetical protein
fig|391904.5.peg.26	Predicted ATPase (AAA+ superfamily)
fig|391904.5.peg.27	Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)
fig|391904.5.peg.28	Hemolysins and related proteins containing CBS domains
fig|391904.5.peg.29	hypothetical protein
fig|391904.5.peg.30	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.31	hypothetical protein
fig|391904.5.peg.32	Carbonic anhydrase (EC 4.2.1.1)
fig|391904.5.peg.33	Alkyl hydroperoxide reductase protein C (EC 1.11.1.15)
fig|391904.5.peg.34	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)
fig|391904.5.peg.35	Uncharacterized MFS-type transporter
fig|391904.5.peg.36	hypothetical protein
fig|391904.5.peg.37	Mobile element protein
fig|391904.5.peg.38	Mobile element protein
fig|391904.5.peg.39	hypothetical protein
fig|391904.5.peg.40	"Maltose operon transcriptional repressor MalR, LacI family"
fig|391904.5.peg.41	"ABC transporter, substrate-binding protein"
fig|391904.5.peg.42	hypothetical protein
fig|391904.5.peg.43	"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
fig|391904.5.peg.44	hypothetical protein
fig|391904.5.peg.45	hypothetical protein
fig|391904.5.peg.46	Transposase
fig|391904.5.peg.47	ATPase
fig|391904.5.peg.48	hypothetical protein
fig|391904.5.peg.49	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)
fig|391904.5.peg.50	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)
fig|391904.5.peg.51	"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
fig|391904.5.peg.52	"Oligopeptide ABC transporter, permease protein"
fig|391904.5.peg.53	"Oligopeptide ABC transporter, permease protein"
fig|391904.5.peg.54	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.55	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)
fig|391904.5.peg.56	hypothetical protein
fig|391904.5.peg.57	Integral membrane protein
fig|391904.5.peg.58	Sodium/proline symporter
fig|391904.5.peg.59	hypothetical protein
