target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	2227	192.036
Blon_0002	387	188	9	5.383
Blon_0003	1125	926	2278	276.619
Blon_0004	1239	1040	518	56.0062
Blon_0005	471	272	122	50.4348
Blon_0006	2130	1931	5718	332.967
Blon_0007	2652	2453	7949	364.38
Blon_0008	567	368	2619	800.253
Blon_0009	1422	1223	360	33.099
Blon_0010	225	29.9375	8	30.0479
Blon_0011	1347	1148	7534	737.944
Blon_0012	291	92.0002	269	328.778
Blon_0013	279	80.003	210	295.157
Blon_0016	261	62.0706	3	5.43469
Blon_0017	645	446	103	25.9682
Blon_0018	276	77.0053	5	7.30111
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	177	18.7056
Blon_0020	777	578	81	15.7578
Blon_0021	804	605	149	27.693
Blon_0022	765	566	161	31.9852
Blon_0023	939	740	350	53.1834
Blon_0024	870	671	569	95.3519
Blon_0025	720	521	389	83.9559
Blon_0026	1287	1088	820	84.747
Blon_0027	807	608	211	39.0228
Blon_0028	1314	1115	463	46.6923
Blon_0029	480	281	6933	2774.31
Blon_0030	1344	1145	928	91.1343
Blon_0031	1137	938	251	30.0892
Blon_0034	630	431	294	76.7025
Blon_0035	564	365	1979	609.667
Blon_0036	1917	1718	1000	65.451
Blon_0037	1287	1088	623	64.3871
Blon_0038	471	272	19	7.8546
Blon_0039	1356	1157	304.714	29.6141
Blon_0040	1245	1046	127	13.6525
Blon_0041	1563	1364	85	7.00719
Blon_0042	1023	824	140	19.1047
Blon_0043	1308	1109	158	16.0201
Blon_0044	906	707	33	5.24849
Blon_0045	879	680	48	7.93728
Blon_0046	1182	983	221	25.2801
Blon_0047	843	644	29	5.06351
Blon_0049	1224	1025	188	20.624
Blon_0050	495	296	88	33.4295
Blon_0051	1650	1451	158	12.2442
Blon_0053	1713	1514	878	65.2091
Blon_0054	972	773	176	25.6019
Blon_0055	948	749	227	34.0787
Blon_0056	1920	1721	516	33.7138
Blon_0057	534	335	70	23.4959
Blon_0058	639	440	179	45.7446
Blon_0059	2754	2555	22068	971.206
Blon_0060	1881	1682	736	49.203
Blon_0061	1662	1463	302	23.2114
Blon_0062	996	797	35	4.93798
Blon_0063	1482	1283	230	20.1577
Blon_0064	1092	893	1313	165.33
Blon_0065	387	188	393	235.058
Blon_0066	672	473	720	171.163
Blon_0067	1152	953	536	63.2428
Blon_0068	1398	1199	304	28.5098
Blon_0069	417	218	83	42.8116
Blon_0070	2526	2327	13458	650.315
Blon_0071	219	25.9389	315	1365.52
Blon_0072	855	656	292	50.0517
Blon_0073	471	272	1213	501.454
Blon_0074	801	602	611	114.126
Blon_0075	1143	944	915	108.99
Blon_0076	645	446	843	212.536
Blon_0077	2088	1889	3714	221.08
Blon_0078	951	752	1210	180.928
Blon_0079	1467	1268	2101	186.314
Blon_0080	1560	1361	2103	173.748
Blon_0081	1695	1496	3407	256.083
Blon_0082	525	326	792	273.179
Blon_0083	702	503	2565	573.402
Blon_0084	2373	2174	1768	91.4455
