target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	1353	173.123
Blon_0002	387	188	6	5.32511
Blon_0003	1125	926	1257	226.495
Blon_0004	1239	1040	353	56.6339
Blon_0005	471	272	75	46.0073
Blon_0006	2130	1931	3852	332.843
Blon_0007	2652	2453	6061	412.27
Blon_0008	567	368	1776	805.249
Blon_0009	1422	1223	280	38.2003
Blon_0010	225	29.9375	6	33.4404
Blon_0011	1347	1148	4720	686.017
Blon_0012	291	92.0002	153	277.484
Blon_0013	279	80.003	133	277.383
Blon_0016	261	62.0706	4	10.7525
Blon_0017	645	446	27	10.101
Blon_0018	276	77.0053	6	13.0007
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	133	20.8567
Blon_0020	777	578	55	15.877
Blon_0021	804	605	122	33.6465
Blon_0022	765	566	84	24.7627
Blon_0023	939	740	208	46.8993
Blon_0024	870	671	381	94.7409
Blon_0025	720	521	348	111.449
Blon_0026	1287	1088	571	87.5673
Blon_0027	807	608	162	44.4576
Blon_0028	1314	1115	330	49.3826
Blon_0029	480	281	7459	4429.04
Blon_0030	1344	1145	559	81.4594
Blon_0031	1137	938	183	32.5524
Blon_0034	630	431	164	63.4894
Blon_0035	564	365	1235	564.558
Blon_0036	1917	1718	697	67.6931
Blon_0037	1287	1088	567	86.9539
Blon_0038	471	272	18	11.0418
Blon_0039	1356	1157	222.143	32.0357
Blon_0040	1245	1046	133	21.2156
Blon_0041	1563	1364	76	9.29681
Blon_0042	1023	824	103	20.8567
Blon_0043	1308	1109	93	13.9922
Blon_0044	906	707	19	4.48404
Blon_0045	879	680	31	7.60655
Blon_0046	1182	983	168	28.5161
Blon_0047	843	644	20	5.18178
Blon_0049	1224	1025	92	14.9761
Blon_0050	495	296	62	34.949
Blon_0051	1650	1451	109	12.5341
Blon_0053	1713	1514	506	55.7647
Blon_0054	972	773	170	36.6948
Blon_0055	948	749	180	40.0983
Blon_0056	1920	1721	391	37.908
Blon_0057	534	335	58	28.888
Blon_0058	639	440	144	54.6065
Blon_0059	2754	2555	12587	821.989
Blon_0060	1881	1682	535	53.0717
Blon_0061	1662	1463	215	24.5205
Blon_0062	996	797	17	3.55898
Blon_0063	1482	1283	169	21.9783
Blon_0064	1092	893	891	166.48
Blon_0065	387	188	441	391.395
Blon_0066	672	473	636	224.352
Blon_0067	1152	953	451	78.9621
Blon_0068	1398	1199	343	47.732
Blon_0069	417	218	63	48.2191
Blon_0070	2526	2327	5882	421.758
Blon_0071	219	25.9389	259	1666.03
Blon_0072	855	656	250	63.5874
Blon_0073	471	272	921	564.97
Blon_0074	801	602	442	122.507
Blon_0075	1143	944	681	120.368
Blon_0076	645	446	633	236.812
Blon_0077	2088	1889	2322	205.1
Blon_0078	951	752	831	184.382
Blon_0079	1467	1268	1231	161.985
Blon_0080	1560	1361	1489	182.546
Blon_0081	1695	1496	2554	284.855
Blon_0082	525	326	787	402.802
Blon_0083	702	503	1891	627.276
Blon_0084	2373	2174	1794	137.689
Blon_0085	1092	893	684	127.803
Blon_0086	957	758	615	135.376
Blon_0087	1377	1178	3460	490.079
Blon_0088	2643	2444	6387	436.044
Blon_0089	975	776	647	139.116
Blon_0090	600	401	384	159.78
Blon_0091	951	752	360	79.8766
Blon_0092	1173	974	599	102.613
Blon_0093	333	134	101	125.763
Blon_0094	843	644	390	101.045
Blon_0095	423	224	52	38.7338
Blon_0096	615	416	295	118.321
Blon_0097	321	122	248	339.177
Blon_0098	348	149	177	198.208
Blon_0099	240	42.049	75	297.605
Blon_R0003	86	3.85692	0	0
Blon_0101	1314	1115	485	72.5775
Blon_0102	2052	1853	10398	936.288
Blon_0103	2163	1964	2883	244.928
Blon_0104	1302	1103	91	13.7658
Blon_0105	885	686	82	19.9446
Blon_0106	1116	917	84	15.2843
Blon_0107	813	614	79	21.4681
Blon_0108	711	512	69	22.4861
Blon_0109	975	776	218	46.8737
Blon_0110	699	500	115	38.3763
Blon_0111	1722	1523	372	40.7547
Blon_0112	666	467	138	49.3057
Blon_0113	822	623	355	95.0769
Blon_0114	612	413	90	36.3603
Blon_0115	855	656	131	33.3198
Blon_0116	1452	1253	2702	359.807
Blon_0117	939	740	2231	503.04
Blon_R0004	74	3.56892	0	0
Blon_0118	1176	977	1021	174.368
Blon_0119	639	440	302	114.522
Blon_0120	1089	890	588	110.236
Blon_0121	627	428	144	56.1376
Blon_0122	189	13.1915	8	101.188
Blon_0123	1287	1088	3195	489.978
Blon_0124	1515	1316	758	96.1055
Blon_0125	1041	842	374	74.113
Blon_0126	396	197	91	77.0744
Blon_0127	1086	887	203	38.1863
Blon_0128	1527	1328	195	24.5003
Blon_0129	1638	1439	1242	144.011
Blon_0130	1368	1169	385	54.9517
Blon_0131	1053	854	1526	298.148
Blon_0132	594	395	286	120.81
Blon_0133	735	536	610	189.889
Blon_0134	567	368	907	411.239
Blon_0135	366	167	15	14.9868
Blon_0136	1053	854	3374	659.207
Blon_0137	1818	1619	595	61.3204
Blon_0138	1035	836	338	67.4598
Blon_0139	2238	2039	1486	121.601
Blon_0140	2079	1880	56	4.9701
Blon_0141	1896	1697	5656	556.112
Blon_0142	687	488	1622	554.582
Blon_0143	1011	812	1357	278.842
Blon_0144	588	389	149	63.9104
Blon_0145	1353	1154	162	23.4231
Blon_0146	1122	923	212	38.3238
Blon_0147	1500	1301	191	24.4958
Blon_0148	804	605	122	33.6465
Blon_0149	672	473	229	80.781
Blon_0150	726	527	555	175.718
Blon_0151	951	752	21	4.65947
Blon_0152	1068	869	12	2.30407
Blon_0153	654	455	8	2.93368
Blon_0154	603	404	11	4.54304
Blon_0155	288	89.0004	5	9.37373
Blon_0156	387	188	6	5.32511
Blon_0157	378	179	18	16.7785
Blon_0158	1131	932	621	111.176
Blon_0159	600	401	112	46.6024
Blon_0160	2772	2573	1108	71.8513
Blon_0161	603	404	169	69.7976
Blon_0162	1134	935	100	17.8453
Blon_0163	492	293	34	19.3618
Blon_0164	765	566	662	195.154
Blon_0165	567	368	415	188.163
Blon_0166	1095	896	636	118.436
Blon_0167	621	422	313	123.756
Blon_0168	1581	1382	1164	140.533
Blon_0169	510	311	58	31.1173
Blon_0170	1917	1718	3742	363.426
Blon_0171	2322	2123	1469	115.453
Blon_0172	963	764	748	163.359
Blon_0173	3084	2885	2884	166.795
Blon_0174	702	503	248	82.2657
Blon_0175	1152	953	542	94.8945
Blon_0176	630	431	160	61.9409
Blon_0177	261	62.0706	638	1715.02
Blon_0178	1650	1451	1601	184.102
Blon_0179	555	356	373	174.821
Blon_0180	1602	1403	2273	270.319
Blon_0181	1518	1319	6698	847.296
Blon_0182	348	149	324	362.822
Blon_0183	618	419	866	344.857
Blon_0184	1422	1223	261	35.6081
Blon_0185	1452	1253	979	130.367
Blon_0186	660	461	163	58.9959
Blon_0187	909	710	425	99.877
Blon_0188	876	677	602	148.369
Blon_0189	1128	929	1157	207.803
Blon_0190	417	218	40	30.6153
Blon_0191	1521	1322	4003	505.23
Blon_R0006	76	3.6135	0	0
Blon_R0007	75	3.59105	0	0
Blon_0192	498	299	178	99.3307
Blon_0193	849	650	120	30.8037
Blon_0194	714	515	136	44.0622
Blon_R0008	88	3.91013	0	0
Blon_0195	1644	1445	44	5.08065
Blon_0196	1929	1730	208	20.061
Blon_0197	696	497	210	70.5014
Blon_0198	1269	1070	285	44.4422
Blon_0199	1305	1106	227	34.2457
Blon_0200	1224	1025	292	47.5328
Blon_0201	798	599	166	46.2398
Blon_0202	564	365	138	63.0843
Blon_0203	600	401	160	66.5749
Blon_0204	2163	1964	608	51.6532
Blon_0205	2631	2432	845	57.9733
Blon_0206	1287	1088	2711	415.753
Blon_0207	1530	1331	3376	423.213
Blon_0208	843	644	277	71.7677
Blon_0209	1026	827	688	138.809
Blon_0210	1539	1340	877	109.202
Blon_R0009	76	3.6135	0	0
Blon_0211	567	368	67	30.3782
Blon_0212	156	7.59116	0	0
Blon_0213	300	101	21	34.6923
Blon_0214	1263	1064	119	18.6612
Blon_0215	669	470	171	60.7062
Blon_0216	1167	968	300	51.7107
Blon_0217	285	86.0009	35	67.9047
Blon_0218	1638	1439	1088	126.155
Blon_0219	1035	836	386	77.0399
Blon_0220	930	731	264	60.2589
Blon_0221	294	95.0001	88	154.559
Blon_0222	1263	1064	1671	262.041
Blon_0223	1296	1097	1728	262.828
Blon_0224	339	140	349	415.941
