target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	2612	199.033
Blon_0002	387	188	15	7.92798
Blon_0003	1125	926	2065	221.584
Blon_0004	1239	1040	582	55.6056
Blon_0005	471	272	134	48.9514
Blon_0006	2130	1931	6273	322.792
Blon_0007	2652	2453	8476	343.338
Blon_0008	567	368	2398	647.486
Blon_0009	1422	1223	384	31.1985
Blon_0010	225	29.9375	6	19.9143
Blon_0011	1347	1148	6927	599.56
Blon_0012	291	92.0002	299	322.932
Blon_0013	279	80.003	221	274.483
Blon_0016	261	62.0706	1	1.60082
Blon_0017	645	446	40	8.91157
Blon_0018	276	77.0053	8	10.3228
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	279	26.055
Blon_0020	777	578	157	26.9899
Blon_0021	804	605	256	42.0449
Blon_0022	765	566	204	35.8132
Blon_0023	939	740	539	72.3746
Blon_0024	870	671	978	144.826
Blon_0025	720	521	777	148.188
Blon_0026	1287	1088	1000	91.3272
Blon_0027	807	608	254	41.5106
Blon_0028	1314	1115	389	34.666
Blon_0029	480	281	7713	2727.38
Blon_0030	1344	1145	952	82.6153
Blon_0031	1137	938	304	32.2033
Blon_0034	630	431	234	53.947
Blon_0035	564	365	1589	432.574
Blon_0036	1917	1718	974	56.3333
Blon_0037	1287	1088	533	48.6774
Blon_0038	471	272	35	12.7858
Blon_0039	1356	1157	309.429	26.574
Blon_0040	1245	1046	171	16.244
Blon_0041	1563	1364	118	8.59601
Blon_0042	1023	824	157	18.9322
Blon_0043	1308	1109	146	13.0813
Blon_0044	906	707	25	3.51358
Blon_0045	879	680	53	7.74455
Blon_0046	1182	983	248	25.0684
Blon_0047	843	644	23	3.54871
Blon_0049	1224	1025	183	17.7401
Blon_0050	495	296	88	29.5407
Blon_0051	1650	1451	215	14.7231
Blon_0053	1713	1514	877	57.5576
Blon_0054	972	773	213	27.3797
Blon_0055	948	749	234	31.043
Blon_0056	1920	1721	570	32.9096
Blon_0057	534	335	67	19.8728
Blon_0058	639	440	190	42.9072
Blon_0059	2754	2555	18395	715.382
Blon_0060	1881	1682	743	43.8927
Blon_0061	1662	1463	336	22.8204
Blon_0062	996	797	20	2.49345
Blon_0063	1482	1283	231	17.8902
Blon_0064	1092	893	1602	178.254
Blon_0065	387	188	533	281.708
Blon_0066	672	473	914	192.006
Blon_0067	1152	953	624	65.061
Blon_0068	1398	1199	363	30.0827
Blon_0069	417	218	84	38.287
Blon_0070	2526	2327	10419	444.896
Blon_0071	219	25.9389	382	1463.33
Blon_0072	855	656	418	63.3143
Blon_0073	471	272	1463	534.447
Blon_0074	801	602	650	107.287
Blon_0075	1143	944	1010	106.311
Blon_0076	645	446	814	181.35
Blon_0077	2088	1889	3476	182.842
Blon_0078	951	752	1187	156.842
Blon_0079	1467	1268	2036	159.547
